TAXONNAME,Size,Diet,Mobility,Activity,Schooling,Position
Coris_centralis,2,Microinvertivores,Mobile within reef,Diurnal,Solitary,Benthic
Coris_gaimard,4,Macroinvertivores,Mobile within reef,Diurnal,Solitary,Benthic
Ctenochaetus_binotatus,3,Herbivores Microvores Detritivores,Sedentary,Diurnal,SmallG,Benthic
Ctenochaetus_cyanocheilus,3,Herbivores Microvores Detritivores,Sedentary,Diurnal,SmallG,Benthic
Ctenochaetus_flavicauda,2,Herbivores Microvores Detritivores,Sedentary,Diurnal,SmallG,Benthic
Ctenochaetus_hawaiiensis,3,Herbivores Microvores Detritivores,Sedentary,Diurnal,Solitary,Benthic
Ctenochaetus_marginatus,3,Herbivores Microvores Detritivores,Sedentary,Diurnal,SmallG,Benthic
Ctenochaetus_sp,3,Herbivores Microvores Detritivores,Sedentary,Diurnal,SmallG,Benthic
Ctenochaetus_striatus,3,Herbivores Microvores Detritivores,Sedentary,Diurnal,MedG,Benthic
Decapterus_macarellus,4,Planktivores,Mobile across reefs,Both diurnal and nocturnal,SmallG,Pelagic
Diodon_hystrix,6,Macroinvertivores,Mobile within reef,Both diurnal and nocturnal,Solitary,Benthic
Echidna_nebulosa,6,Crustacivores,Sedentary,Nocturnal,Solitary,Benthic
Ecsenius_midas,2,Herbivores Microvores Detritivores,Sedentary,Diurnal,SmallG,Bentho-Pelagic
Elagatis_bipinnulata,6,Piscivores,Mobile across reefs,Both diurnal and nocturnal,MedG,Pelagic
Enchelycore_pardalis,6,Crustacivores,Sedentary,Nocturnal,Solitary,Benthic
Epibulus_insidiator,4,Crustacivores,Mobile within reef,Diurnal,Solitary,Benthic
Epinephelus_fasciatus,4,Crustacivores,Mobile within reef,Both diurnal and nocturnal,Solitary,Benthic
Epinephelus_hexagonatus,3,Piscivores,Mobile within reef,Both diurnal and nocturnal,Solitary,Benthic
Epinephelus_howlandi,4,Crustacivores,Mobile within reef,Both diurnal and nocturnal,Solitary,Benthic
Epinephelus_macrospilos,4,Crustacivores,Mobile within reef,Both diurnal and nocturnal,Solitary,Benthic
Epinephelus_melanostigma,4,Crustacivores,Mobile within reef,Both diurnal and nocturnal,Solitary,Benthic
Epinephelus_merra,4,Crustacivores,Mobile within reef,Both diurnal and nocturnal,Solitary,Benthic
Epinephelus_retouti,4,Crustacivores,Mobile within reef,Both diurnal and nocturnal,Solitary,Benthic
Epinephelus_sp,6,Crustacivores,Mobile within reef,Both diurnal and nocturnal,Solitary,Benthic
Epinephelus_spilotoceps,4,Crustacivores,Mobile within reef,Both diurnal and nocturnal,Solitary,Benthic
Epinephelus_tauvina,5,Piscivores,Mobile within reef,Both diurnal and nocturnal,Solitary,Benthic
Exallias_brevis,2,Herbivores Microvores Detritivores,Sedentary,Diurnal,Solitary,Benthic
Fistularia_commersonii,6,Piscivores,Mobile across reefs,Diurnal,SmallG,Pelagic
Forcipiger_flavissimus,3,Microinvertivores,Sedentary,Diurnal,Pairing,Benthic
Gnathodentex_aureolineatus,4,Macroinvertivores,Mobile within reef,Nocturnal,LargeG,Benthic
Gomphosus_varius,3,Crustacivores,Mobile within reef,Diurnal,Solitary,Benthic
Gracila_albomarginata,4,Piscivores,Mobile across reefs,Diurnal,Solitary,Bentho-Pelagic
Gymnosarda_unicolor,6,Piscivores,Mobile across reefs,Both diurnal and nocturnal,Solitary,Pelagic
Gymnothorax_breedeni,6,Crustacivores,Sedentary,Nocturnal,Solitary,Benthic
Gymnothorax_flavimarginatus,6,Piscivores,Sedentary,Nocturnal,Solitary,Benthic
Gymnothorax_javanicus,6,Piscivores,Sedentary,Nocturnal,Solitary,Benthic
Gymnothorax_meleagris,6,Piscivores,Sedentary,Nocturnal,Solitary,Benthic
Gymnothorax_sp,6,Crustacivores,Sedentary,Nocturnal,Solitary,Benthic
Halichoeres_hortulanus,3,Macroinvertivores,Mobile within reef,Diurnal,Solitary,Benthic
Halichoeres_margaritaceus,2,Microinvertivores,Mobile within reef,Diurnal,SmallG,Benthic
Halichoeres_melasmapomus,3,Microinvertivores,Mobile within reef,Diurnal,Solitary,Benthic
Halichoeres_ornatissimus,3,Microinvertivores,Mobile within reef,Diurnal,Solitary,Benthic
Halichoeres_sp,2,Microinvertivores,Mobile within reef,Diurnal,Solitary,Benthic
Halichoeres_trimaculatus,3,Microinvertivores,Mobile within reef,Diurnal,SmallG,Benthic
